Antonym,Name,Rank
RSA,RSA Conference,B
SAC,ACM Symposium on Applied Computing,B
SAC,Selected Areas in Cryptography,B
SAFECOMP,"International Conference on Computer Safety, Reliability and Security",B
SAGT,International Symposium on Algorithmic Game Theory,B
SARA,"Symposium on Abstraction, Reformulation and Approximation",B
SBAC PAD,International Symposium on Computer Architecture and High Performance Computing,B
SC,International Conference on Software Composition,B
SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,B
SCAI,Scandinavian Conference on Artificial Intelligence,B
SCN,Conference on Security and Cryptography for Networks,B
SCSC,Summer Computer Simulation Conference,B
SEA,International Symposium on Experimental Algorithms,B
SEAL,Asia Pacific Conference on Simulated Evolution and Learning,B
SECRYPT,International Conference on Information Security and Cryptography,B
SEFM,International Conference on Software Engineering and Formal Methods,B
SEKE,International Conference on Software Engineering and Knowledge Engineering,B
SEQAPP,International Conference on Sequences and their Applications,B
SERVICES,IEEE Congress on Services,B
SGP,Symposium on Geometry Processing,B
ASIA,International Conference on Computer Graphics and Interactive Techniques in Australasia and Southeast Asia SIGGRAPH,B
SIGSPATIAL,ACM International Conference on Advances in Geographic Information Systems,B
SIROCCO,International Colloquium on Structural Information and Communication Complexity,B
SLE,International Conference on Software Language Engineering,B
SMC,"IEEE Conference on Systems, Man and Cybernetics",B
SOFSEM,Current Trends in Theory and Practice of Computer Science,B
SoMeT,International Conference on Software Methods and Tools,B
SPICIS,Singapore International Conference on Intelligent Systems,B
SPIRE,International Symposium on String Processing and Information Retrieval,B
SPM,ACM Symposium on Solid and Physical Modelling,B
SST,Australasian Speech Science and Technology,B
STACS,International Symposium on Theoretical Aspects of Computer Science,B
STC,ACM Workshop on Scalable Trusted Computing,B
STEP,Software Technology and Engineering Practice Conference,B
SWAT,Scandinavian Workshop on Algorithm Theory,B
SWDC,International Conference on Software Development,B
Tabletop,International Workshop on Horizontal Interactive Human Computer Systems,B
TAMC,Conference on Theory and Applications of Models of Computation,B
TAP,International Conference on Tests and Proofs,B
TMI,International Conference on Theoretical and Methodological Issues in machine Translation,B
TridentCom,Technology of Object Oriented Languages and Systems Europe TOOLS Europe B 0803 Computer Software 44105 Testbeds and Research Infrastructures for the Development of Networks and Communities,B
TrustBus,"International Conference on Trust, Privacy and Security in Digital Business",B
UIC,International Conference on Ubiquitous and Intelligence Computing,B
UKSS,United Kingdom Systems Society,B
UM,International Conference on User Modelling (now UMAP),B
UMAP,"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",B
UMC,Unconventional Models of Computation,B
UML,Unified Modelling Language,B
VCIP,SPIE International Conference on Visual Communications and Image Processing,B
VDB,Visual Database Systems,B
VecPar,International Conference on Vector and Parallel Processing,B
VISSOFT,IEEE International Workshop on Visualizing Software for Understanding and Analysis,B
VMCAI,"Verification, Model Checking and Abstract Interpretation",B
VR,IEEE Virtual Reality Conference,B
VSMM,International Conference on Virtual Systems and MultiMedia,B
WABI,Workshop on Algorithms in Bioinformatics,B
WAE,Workshop on Algorithm Engineering,B
WAOA,Workshop on Approximation and Online Algorithms,B
WCC,International Workshop on Coding and Cryptography,B
WCES,World Congress on Expert Systems,B
WCNN,World Congress on Neural Networks,B
WCRE,IEEE Working Conference on Reverse Engineering,B
WCW,International Workshop on Web Content Caching and Distribution,B
WEA,International Workshop on Efficient Algorithms,B
WETICE,International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises,B
WIDM,ACM Workshop on Web Information and Data Management,B
WIKISYM,International Symposiums on Wikis,B
WoLLIC,"Workshop on Logic, Language, Information and Computation",B
WSC,Winter Simulation Conference,B
WSCG,"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",B
WSDM,ACM International Conference on Web Search and Data Mining,B
XP,International Conference on extreme Programming and Flexible Processes in Software Engineering,B
Computing,"Southeastern International Conference on Combinatorics, Graph Theory, and",C
Functions,ECRYPT Workshop on Cryptographic Hash,C
Cryptanalysis,ECRYPT Workshop on Tools for,C
Benelux,Symposium on Information Theory in the,C
Cryptography,The Claude Shannon Workshop on Coding and,C
3DIM,3 D Digital Imaging and Modelling,C
3DPVT,International Symposium on 3D Data Processing Visualization and Transmission,C
3G,International Conference on 3G Mobile Communication Technologies,C
AAAC,International Workshop on Advanced Architectures and Algorithms for Internet Delivery and Applications AAA IDEA C 0806 Information Systems 44077 Symposium of Asian Association for Algorithms and Computation,C
AAIM,Conference on Algorithmic Aspects in Information and Management,C
ACAC,Athens Colloquium on Algorithms and Complexity,C
ACAC,Australasian Computer Architecture Conference,C
ACAI,Advanced Course on Artificial Intelligence,C
ACC,Applied Computing Conference,C
ACCMCC,Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,C
ACEC,Australasian Computers in Education Conference,C
ACG,"Workshop on Algorithms, Combinatorics, and Geometry",C
ACHI,International Conference on Advances in Computer Human Interactions,C
ACID,Algorithms and Complexity in Durham,C
ACII,International Conference on Affective Computing and Intelligent,C
ACMA,Australasian Computer Music Conference,C
ACNN,Australian Conference on Neural Networks,C
ACOSM,Australian Conference on Software Metrics,C
ACP4IS,"Workshop on Aspects, Components, and Paberns for Infrastructure Software",C
ACS,Australian Supercomputing Conference,C
ADVIS,Advances in Information Systems,C
AFAANZ,Accounting and Finance Association of Australia and New Zealand Conference,C
AFIPS,American Federation of Information Processing Societies,C
AFRIGRAPH,"International Conference on Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa",C
AGDC,Australian Game Developers Conference,C
AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,C
AICE,Australian Institute of Computer Ethics Conference,C
AIKM,Artificial Intelligence in Knowledge Management,C
AIPR,International Conference on Artificial Intelligence and Pabern Recognition,C
AIRS,Asia Information Retrieval Symposium,C
AIS,Advances in Intelligent Systems,C
AISAT,International Conference on Artificial Intelligence in Science and Technology,C
AISP,Australasia Conference on Information Security and Privacy,C
AISW,"Workshop on Australasian Information Security, Data Mining and Web Intelligence, and Software Internationalisation",C
AISW PET,Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies),C
AITC,Advances in the Theory of Computing,C
AJWIES,Australia Japan Joint Workshop on Intelligent and Evolutionary Systems,C
AKAW,Australian Knowledge Acquisition Workshop,C
ALICE,"SIAM Workshop on Algorithms for Listing, Counting, and Enumeration",C
ALPIT,International Conference on Advanced Language Processing and Web Information Technology,C
AMAST,Algebraic Methodology and Software Technology,C
AmI,European Conference on Ambient Intelligence,C
AMIGE,IEEE Symposium on Advanced Management of Information for Globalized Enterprises,C
Aml.d,Ambient Intelligence Developments,C
AMOC,Asian International Mobile Computing Conference,C
AMS,Asia International Conference on Modelling and Simulation,C
ANNES,Conference on Artificial Neural Networks and Expert systems,C
ANSS,Annual Simulation Symposium,C
ANZAM,Australian and New Zealand Academy of Management Conference,C
ANZIIS,Australian and New Zealand Intelligent Information Systems Conference,C
ANZMAC,Australian and New Zealand Marketing Academy Conference,C
ANZMODS,The Modelling and Simulation Society of Australia and New Zealand Meeting,C
AO Asia,Aspect Orientation Asia,C
AOIR,Internet Research,C
AOM,Workshop on Aspect Oriented Modelling,C
AOSE,Agent Oriented Software Engineering Workshop,C
APDSI,Asia Pacific Decision Science Institute Conference,C
APGV,Applied Perception in Graphics and Visualization,C
APNOMS,Asia Pacific Network Operations and Management Symposium,C
APORS,Conference of the Association of Asian Pacific Operational Research Societies,C
APRSAIS,Asia Pacific Research Symposium on Accounting Information Systems,C
APRTS,Australasian Conference on Parallel and Real Time Systems,C
APSCC,Asia Pacific Services Computing Conference,C
APSEC,Asia Pacific Software Engineering Conference,C
APVIS,Asia Pacific Symposium on Visualisation,C
APWEB,Asia Pacific Web Conference,C
AQSDT,Symposium on Assessment of Quality S/W Dev Tools,C
ARACNE,Workshop on Approximation and Randomization Algorithms in Communication Networks,C
ARITH,IEEE Symposium on Computer Arithmetic,C
AROB,International Symposium on Artificial Life and Robotics,C
ARTDB,Active and Real Time Database Systems,C
ArtsIT,International Conference on Arts and Technology,C
ARVLSI,Advanced Research in VLSI,C
ASAI,Argentine Symposium on Artificial Intelligence,C
ASCILITE,Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,C
ASCM,Asian Symposium on Computer Mathematics,C
ASM(W),International Workshop on Abstract State Machines,C
ASR,ISCA Tutorial and Research Workshop Automatic Speech Recognition,C
ASRU,IEEE Automatic Speech Recognition and Understanding Workshop,C
AST,Automation of Software Test,C
ATC,International Conference on Autonomic and Trusted Computing,C
ATMOS,"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",C
AUC,Workshop on Ad Hoc and Ubiquitous computing,C
AUCADC,Apple University Consortium Academic and Developers Conference,C
AuCSS,Australasian Cognitive Science Society Conference,C
AURISA,Australasian Urban and Regional Information Systems Association Conference,C
AuRW,Australasian Refinement Workshop,C
AusGrid,Australasian Symposium on Grid Computing and e Research (now AusPDC),C
AusPDC,Australasian Symposium on Parallel and Distributed Computing (was AusGrid),C
AusWeb,Australian World Wide Web Conference,C
AUUG,Australian UNIX Users Group National Conference,C
AWIC,International Atlantic Web Intelligence Conference,C
AWSA,Australian Workshop on Software Architecture,C
BCS FMW,British Computer Society Formal Aspects of Computing Science Specialist Group Workshop,C
BCTCS,British Colloquium for Theoretical Computer Science,C
BFCA,International Workshop on Boolean Functions: Cryptography and Applications,C
BIBE,IEEE Bioinformatics and Bioengineering,C
BICC,IFIP Conference on Biologically Inspired Collaborative Computing,C
BioViz,Bioinformatics Visualization,C
BPD,International Workshop on Business Process Design,C
BPI,International Workshop on Business Process Intelligence,C
BPMDS,"International Workshop on Business Process Modelling, Development, and Support",C
BSN,Body Sensor Networks,C
BuiltViz,Visualisation in Built Environment,C
C#,International Workshop on C# and .NET Technologies,C
C5,International Conference on Creating Connecting and Collaborating through Computing,C
CAINE,ISCA International Conference on Computer Applications in Industry and Engineering,C
CAivDE,"Computer Animation, Information Visualisation, and Digital Effects",C
CanaDAM,Canadian Discrete and Algorithmic Mathematics Conference,C
CATA,International Conference on Computers and their Applications,C
CCA,International Conference on Computability and Complexity in Analysis,C
CCCG,Canadian Conference on Computational Geometry,C
CCG,Workshop on Computational and Conformal Geometry,C
CCSC,Journal of Computing Science in Colleges (Conference proceedings),C
CDB,Constraint Databases and Applications,C
CDVE,"Cooperative Design, Visualization, and Engineering",C
CEC,IEEE Conference on Electronic Commerce Technology (merger of CEC and EEE),C
CEG,Computing in Education Group of Victoria Conference,C
CERE,International Workshop on Comparative Evaluation in Requirements Engineering,C
CERIAS,Information Security Symposium,C
CFET,International Conference on Cybercrime Forensics Education and Training,C
CFP,"Conference on Computers, Freedom, and Privacy",C
CGA,Workshop on Computational Geometry and Applications,C
CGAL,CGAL User Workshop,C
CGC,CGC Workshop on Computational Geometry,C
CGIE,Joint International Conference on CyberGames and Interactive Entertainment,C
CGIV,"International Conference Computer Graphics, Imaging and Visualization",C
CGTDG,Conference on Graph Theory and Discrete Geometry,C
CGW,Annual Fall Workshop on Computational Geometry,C
CHES,Workshop on Cryptographic Hardware and Embedded Systems,C
ChiliPLoP,Southwestern Conference on Pabern Languages of Programs,C
ChinaGrid,ChinaGrid Annual Conference,C
CHINZ,ACM SIGCHI_NZ Conference on Human Computer Interaction,C
CHKV,Cultural Heritage Knowledge Visualisation,C
CIAC,International Conference on Algorithms and Complexity (was Italian Conference ),C
CIARP,IberoAmerican Congress on Pabern Recognition,C
CIC,International Conference on Communications in Computing,C
CiE,Computability in Europe: Logic and Theory of Algorithms,C
CIEAEM,Conference of the Commission Internationale pour l'Etude et l'Amelioration de l'Enseignement des Mathematiques,C
CIG,IEEE Symposium on Computational Intelligence and Games,C
CIHSPS,IEEE International Conference on Intelligence for Homeland Security and Personal Safety,C
CIISP,IEEE Symposium on Computational Intelligence in Image and Signal Processing,C
CIMA,International Workshop on Combinations of Intelligent Methods and Applications,C
CIMCA,"International Conference on Computational Intelligence for Modelling, Control and Automation",C
CIMSA,IEEE International Conference on Computational Intelligence for Measurement Systems and Applications,C
CIRAS,"International Conference on Computational Intelligence, Robotics and Autonomous Systems",C
CIS,IEEE International Conference on Cybernetics and Intelligent Systems,C
CIS,International Conference on Computational Intelligence and Security,C
CISE,International Conference on Computational Intelligence and Software Engineering,C
CISIM,International Conference on Computer Information Systems and Industrial Management Applications,C
CISIS,"International Conference on Complex, Intelligent and Software Intensive Systems",C
CISS,Conference on Information Sciences and Systems,C
CISST,"International Conference Imaging Science, Systems and Technology",C
CIT,IEEE International Conference on Computer and Information Technology,C
CLADE,Challenges of Large Applications in Distributed Environments,C
CLEI,Latin American Conference on Informatics,C
CloudCom,International Conference on Cloud Computing,C
CMS,Joint Working Conference on Secure Information Networks: Communications and Multimedia Security,C
CMV,Coordinated and Multiple Views in Exploratory Visualization,C
CNNA,IEEE International Workshop on Cellular Nanoscale Networks and Applications,C
CO,International Symposium on Combinatorial Optimisation,C
CODAS,International Symposium on Cooperative Database Systems for Advanced Applications,C
CODATA,Commibee on Data for Science and Technology,C
Com,"International Conference on Collaborative Computing: Networks, Applications and Worksharing Collaborate",C
ComAI,Franco Canadian Workshop on Combinatorial Algorithms,C
Texas,CombinaTexas: Combinatorics in the South Central U.S. Combina,C
Complex,Asia Pacific Conference on Complex Systems,C
D,Australasian Compumod Users' Conference COMPUMO,C
COMSWARE,International Conference on Communication System Software and Middleware,C
CONPAR,Conference on Algorithms and Hardware for Parallel Processing,C
CONTEXT,International and Interdisciplinary Conference on Modelling and Using Context,C
COR,Conference on Operations Research,C
CORIA,Conf??rence en Recherche d'information et Applications,C
Cosign,International Conference on Computational Semiotics for Games and New Media,C
COV,Complex Objects Visualization Workshop,C
CPD,Constraint Programming Day,C
CRiSIS,International Conference on Risks and Security of Internet and Systems,C
CRITIS,International Workshop on Critical Information Infrastructures Security,C
CRV,Canadian Conference on Computer and Robot Vision,C
CryPAC,Cryptography Policy and Algorithms Conference,C
s,Crypto'Puces Crypto'Puce,C
CSC,ACM Annual Computer Science Conference,C
CSEEtiT,Conference on Software Engineering Education and Training,C
CSICC,International CSI Computer Conference,C
CSL,Annual Conference of the European Association for Computer Science Logic,C
CSMR,European Conference on Software Maintenance and Reengineering,C
CSR,International Computer Science Symposium in Russia,C
CSRC,Computer Science Research Conference,C
CT,Computational Topology Workshop,C
CTAC,Computational Techniques and Applications Conference,C
CTS,International Symposium on Collaborative Technologies and Systems,C
CTW,Cologne Twente Workshop on Graphs and Combinatorial Optimization,C
DAARC,Discourse Anaphora and Anaphor Resolution Colloquium,C
DAC,Digital Arts and Culture,C
DAG,Discrete and Algorithmic Geometry,C
DASC,"International Conference on Dependable, Autonomic and Secure Computing",C
DASD,"Symposium on Design, Analysis, and Simulation of Distributed Systems",C
DASWIS,Data Semantics in Web Information Systems,C
DAViz,Design and Aesthetics in Visualisation,C
DC,International Conference on Dublin Core and Metadata Applications,C
DCM,International Workshop on Developments in Computational Models,C
Dcw,Distributed Communities on the Web Workshop,C
DDDM,International Workshop on Domain Driven Data Mining,C
DECI,"IEEE Information Theory Workshop on Detection, Estimation, Classification and Imaging",C
DEPCoS,International Conference on Dependability of Computer Systems,C
DFMA,International Conference on Distributed Frameworks for Multimedia Applications,C
DGCI,International Conference on Discrete Geometry for Computer Imagery,C
DGW,Dynamic Graph Workshop,C
DIGRA,Digital Games Research Conference,C
DIMA,"Conference on Discrete Mathematics, Algebra and their Application",C
Intrinsic,DIMACS Workshop on Intrinsic Complexity of Computation DIMACS,C
DIMVA,"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",C
DITW,Internationale Tagung WirtschaGsinformatik,C
DIVC,Joint Australia and New Zealand Biennial Conference on Digital Image and Vision Computing,C
DM,SIAM Conference on Discrete Mathematics,C
DM CCG,"Discrete Models: Combinatorics, Computation and Geometry",C
DMDW,Design and Management of Data Warehouses,C
DMKD,Workshop on Research Issues in Data Mining and Knowledge Discovery,C
DMVC,VisMasters Design Modelling and Visualization Conference,C
DP COOL,Workshop on Declarative Programming in the Context of OO Languages,C
DRM,ACM Digital Rights Management Workshop,C
DSAA,International Conference on Database Systems for Advanced Applications,C
DSAL,Domain Specific Aspect Languages,C
DSI,Annual Meeting of the Decision Sciences Institute,C
DSKDB,"International Colloquium on Data Sciences, Knowledge Discovery and Business Intelligence",C
DSLSE,Domain Specific Languages for Software Engineering,C
DSM,Workshop on Domain Specific Modelling,C
DTVE,Workshop on Database Technology for Virtual Enterprises,C
DutchCG,Dutch Computational Geometry Day,C
EANN,International Conference on Engineering Applications of Neural Networks,C
Aspects,Workshop on Aspect Oriented Requirements Engineering and Architecture Design Early,C
ECC,European Computing Conference,C
ECC,Workshop on Elliptic Curve Cryptography,C
ECCO,European Chapter on Combinatorial Optimization,C
ECDM,International Workshop on Evolution and Change in Data Management,C
ECEG,European Conference on e Government,C
ECIME,European Conference on Information Management and Evaluation,C
ECIW,European Conference of Information Warfare,C
ECOWS,IEEE European Conference on Web Services,C
ECRM,European Conference on Research Methodology for Business and Management Studies,C
ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,C
ECUMN,European Conference on Universal Multiservice Networks,C
EDM,Symposium on Discrete Mathematics,C
EDSER,International Workshop on Economics Driven Software Engineering Research,C
EEE,"IEEE International Conference on Enterprise Computing, E Commerce and E Services",C
EGC,French Speaking Conference on the Extraction and Management of Knowledge,C
EGC,Spanish Meeting on Computational Geometry,C
EGEE,Enabling Grids for E Science European Conference,C
EICAR,European Institute for Computer Anti Virus Research EICAR Conference,C
EISWT,International Conference on Enterprise Information Systems and Web Technologies,C
EJC,European Japanese Conference on Information Modelling and Knowledge Bases,C
ELW,European Lisp Workshop,C
EMMSAD,Exploring Modelling Methods in Systems Analysis and Design,C
ENC,Mexican International Conference on Current Trends in Computer Science (was Mexican International Conference on Computer Science),C
ENTER,International Conference on Information and Communication Technologies in Tourism,C
EOMAS,International Workshop on Enterprise and Organizational Modelling and Simulation,C
EP,Annual Conference on Evolutionary Programming,C
EQIS,ERATO Conference on Quantum Information Science,C
ESAS,European Workshop on Security and Privacy in Ad Hoc and Sensor Networks,C
ESCAPE,"Symposium On Combinatorics, Algorithms, Probabilistic and Experimental Methodologies",C
ESGICT,European Symposium on Gender and ICT,C
EUC,IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,C
EUFIT,European Congress on Intelligent Techniques and SoG Computing,C
EUMAS,European Workshop on Multi Agent Systems,C
EURO,European Conference on Operations Research,C
VR,Euro Virtual Reality Euro,C
EuroCG,European Workshop on Computational Geometry,C
EuroCOLT,European Conference on Computational Learning Theory (Now in COLT),C
EUroComb,"EuroConference on Combinatorics, Graph Theory and Applications",C
PI,European PVM/MPI Users' Group Conference EuroPVM/M,C
EVOTE,International Conference on Electronic Voting,C
EVT,USENIX/ACCURATE Electronic Voting Technology Workshop,C
Extreme,Extreme Markup Languages,C
F and B,Finite Differences Finite Elements Finite Volumes Boundary Elements,C
FATES,A Satellite workshop on Formal Approaches to Testing of Software,C
FCC,Formal and Computational Cryptography,C
FCST,Japan China Joint Workshop on Frontier of Computer Science and Technology,C
FDG,International Conference on the Foundations of Digital Games,C
FDL,"Forum on Specification, Verification and Design Languages",C
FDPE,Functional and Declarative Programming in Education,C
FDTC,Workshop on Fault Diagnosis and Tolerance in Cryptography,C
FEWFDB,Far East Workshop on Future DB Systems,C
FG,IEEE International Conference on Automatic Face and Gesture Recognition,C
FIT,International Conference on Frontiers of Information Technology,C
FlAIRS,Florida Artificial Intelligence Research Society Conference,C
FMICS,Int. Workshop on Formal Methods for Industrial Critical Systems,C
FMIS,International Workshop on Formal Methods for interactive Systems,C
FMLDO,International Workshop on Foundations of Models and Languages for Data and Objects,C
FMOOD,International Conference on Formal Methods for Open Object Based Distributed Systems,C
FMP,Formal Methods Pacific,C
FMPPTA,International Workshop on Formal Methods for Parallel Programming: Theory and Applications,C
FMSE,ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,C
FMSEDS,Formal Methods in Software Engineering and Defence Systems Workshop,C
FOAL,Foundations of Aspect Oriented Languages,C
FOOL,International Workshop on Foundations of Object Oriented Languages,C
FOSSACS,Foundations of Software Science and Computational Structures,C
FQAS,Flexible Query Answering Systems,C
FSKD,International Conference on Fuzzy Systems and Knowledge,C
FTDCS,IEEE International Workshop on Future Trends of Distributed Computing Systems,C
FTJP,Workshop on Formal Techniques for Java Programs,C
FUSE,New Zealand Game Developers Conference,C
FUSION,International Conference on Information Fusion,C
GADA,"International Conference on Grid computing, high performance and Distributed Applications",C
y,MSRI Combinatorial Game Theory Research Workshop GameTheor,C
GCA,International Conference on Grid Computing and Applications,C
GCC,International Conference on Grid and Cooperative Computing,C
GCCCE,Global Chinese Conference on Computers in Education,C
GDC,Game Developers Conference,C
GEFS,International Workshop on Genetic and Evolutionary Fuzzy Systems,C
GeoD,SIAM Conference on Geometric Design,C
Uncertainty,Workshop on Uncertainty in Geometric Computations GEOM,C
GeomFest,Geometry Festival: An international workshop on Discrete Geometry and Rigidity,C
GeoViz,GeoVisualization and Information Visualization,C
GHC,Grace Hopper Celebration of Women in Computing,C
GI,IEEE Global Internet Symposium,C
GISPlanet,GIS Planet Conference,C
GO,International Workshop on Global Optimization,C
GOCP,International Workshop on Group Oriented Cryptographic Protocols,C
GPC,International Conference on Grid and Pervasive Computing,C
GRACO,"Brazilian Symposium on Graphs, Algorithms and Combinatorics",C
Graph hoc,Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks,C
GrC,IEEE International Conference on Granular Computing,C
GWC,International Wordnet Conference (Global Wordnet Conference),C
HAI,"International Workshop on Human Aspects in Ambient Intelligence: Agent Technology, Human Oriented Knowledge and Applications",C
HAIS,International Conference on Hybrid Artificial Intelligence Systems,C
HASKELL,Haskell Workshop,C
HealthCom,International Workshop on Enterprise Networking and Computing in Health Care Industry,C
Healthinf,International Conference on Health Informatics,C
HIC,Health Informatics Conference,C
HIPS,International Workshop on High Level Parallel Programming Models and Supportive Environments,C
HIS,International Conference on Hybrid Intelligent Systems,C
HIS,Human System Interaction,C
HLPP,International workshop on High Level Parallel Programming and Applications,C
HOTMOBILE,Workshop on Mobile Computing Systems and Applications,C
HotP2P,International Workshop on Hot topics in Peer to Peer Systems,C
HotSWUp,ACM Workshop on Hot Topics in Software Upgrades,C
HPCSCanada,High Performance Computing Symposium Canada,C
HPGrid,High Performance Grid Computing Workshop (part of IPDPS Conference),C
HPSC,International Conference on High Performance Scientific Computing,C
HUNABC,Hungarian National Conference on Agent Based Computation,C
IAIF,International Workshop on Image Analysis and Information Fusion,C
IAIM,Annual Conference of the International Academy for Information Management,C
IARTW,IEEE International Augmented Reality Toolkit Workshop,C
IAS,International Symposium on Information Assurance and Security,C
IAT,IEEE/WIC/ACM International Conference on Intelligent Agent Technology,C
IBPRIA,Iberian Conference on Pabern Recognition and Image Analysis,C
IC AI,International Conference on Artificial Intelligence,C
IC3K,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",C
ICAART,International Conference on Agents and Artificial Intelligence,C
ICAIL,International Conference on Artificial Intelligence and Law,C
ICAIS,IEEE International Conference on Adaptive and Intelligent Systems,C
ICAISC,International Conference on Artificial Intelligence and SoG Computing,C
ICANNGA,International Conference on Adaptive and Natural Computing Algorithms,C
ICAPRDT,International Conference on Advances in Pabern Recognition and Digital Techniques,C
ICCAM,International Congress on Computational and Applied Mathematics,C
ICCBR,International Conference on Case Based Reasoning Research and Development,C
ICCBSS,IEEE International Conference on COTS Based Software Systems,C
ICCC,IEEE International Conference on Computational Cybernetics,C
ICCC,International Conference on Chinese Computing,C
ICCCI,"International Conference on Computational Collective Intelligence: Semantic Web, Social Networks and Multiagent Systems",C
ICCHP,International Conference on Computers Helping People with Special Needs,C
ICCI,IEEE International Conference on Cognitive Informatics,C
ICCIMA,International Conference on Computational Intelligence and Multimedia,C
ICCIT,International Conference on Computer and Information Technology,C
ICCM,International Congress of Chinese Mathematicians,C
ICCP,IEEE International Conference on Intelligent Computer Communication and Processing,C
ICCSA,International Conference on Computational Science and Applications,C
ICCTA,International Conference on Computer Theory and Applications,C
ICDCIT,International Conference on Distributed Computing and Internet Technologies,C
ICDS,International Conference on Digital Society,C
ICEC,International Conference on Evolutionary Computation,C
ICEC,International Conference on Entertainment Computing,C
ICEComm,International Conference on Electronic Commerce,C
ICEIMT,International Conference on Enterprise Integration and Modelling Technology,C
ICEIS,International Conference on Enterprise Information Systems,C
ICES,International Conference on Computational Engineering Science,C
ICETE,International Joint Conference on e Business and Telecommunications,C
ICFCA,International Conference Formal Concept Analysis Conference,C
ICGSE,IEEE International Conference on Global Software Engineering,C
ICHIT,International Conference on Convergence and Hybrid Information Technology,C
ICICSE,International Conference on Internet Computing in Science and Engineering,C
ICICT,International Conference on Information and Communications Technology,C
ICICTE,International Conference on International and Communication Technologies,C
ICIET,International Conference on Information and Emerging Technologies,C
ICIG,International Conference on Image and Graphics,C
ICIL,International Conference on Intelligent Systems,C
ICIMP,International Conference on Internet Monitoring and Protocol,C
ICISP,International Conference on Image and Signal Processing,C
ICITA,International Conference on Information Technology and Applications,C
ICITS,International Conference on Information Theoretic Security,C
ICIW,International Conference on Internet and Web Applications and Services,C
ICM,International Congress of Mathematicians,C
ICMB,International Conference on Mobile Business,C
ICMLA,International Conference on Machine Learning and Applications,C
ICMLC,International Conference on Machine Learning and Cybernetics,C
ICMSO,"International Conference on Modelling, Simulation and Optimisation",C
ICMV,International Conference on Machine Vision,C
ICNC,International Conference on Natural Computation,C
ICO,SIGOPT International Conference on Optimization,C
ICOCI,International Conference on Computing and Informatics,C
ICOTA,International Conference on Optimization: Techniques And Applications,C
ICPC,International Conference on Program Comprehension (was IWPC),C
ICPCA,International Conference on Pervasive Computing and Applications,C
ICPS,International Conference on Pervasive Services,C
ICSEA,International Conference on Software Engineering Advances,C
ICSLP,International Conference on Spoken Language Processing,C
ICSRIC,"International Conference on Systems Research, Informatics and Cybernetics",C
ICSSEA,International Conference Software and Systems Engineering and their Applications,C
ICST,"International Conference on Software Testing, Verification and Validation",C
ICTBM,International Conference on Technology and Business Management,C
ICTCS,Italian Conference on Theoretical Computer Science,C
ICTD,International Conference on Information and Communication Technologies Development,C
ICVS,International Conference on Computer Vision Systems,C
ICVS,International Conference on Virtual Storytelling,C
ICWE,International Conference on Web Engineering,C
IDC,"International Conference on Digital Content, Multimedia Technology and its Applications",C
IDEAL,International Conference on Intelligent Data Engineering and Automated Learning,C
IDEAW,Integrated Data Environments Australia Workshop,C
IDET,International Workshop on Interactive Entertainment,C
IDV,"Intelligence Tools, Data Mining, Visualization",C
IEA/AIE,International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,C
IEE,Informatics Education Europe,C
ADPRL,IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning IEEE,C
CISched,IEEE Symposium on Computational Intelligence in Scheduling IEEE,C
CIAA,IEEE Workshop on Computational Intelligence in Aerospace Applications IEEE,C
CIB,"IEEE Workshop on Computational Intelligence in Biometrics: Theory, Algorithms, and Applications IEEE",C
CIBCB,IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology IEEE,C
CICA,IEEE Symposium on Computational Intelligence in Control and Automation IEEE,C
CICS,IEEE Symposium on Computational Intelligence in Cyber Security IEEE,C
CIDM,IEEE Symposium on Computational Intelligence and Data Mining IEEE,C
CIFEr,IEEE Symposium on Computational Intelligence for Financial Engineering IEEE,C
CIIP,IEEE Symposium on Computational intelligence for Image Processing IEEE,C
CIMSVP,IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing IEEE,C
CISDA,IEEE Symposium on Computational Intelligence for Security and Defence Applications IEEE,C
CIVE,IEEE Workshop on Computational Intelligence in Virtual Environments IEEE,C
CIVI,IEEE Workshop on Computational Intelligence for Visual Intelligence IEEE,C
