id,alias,name,clean_author_name
348,"Danilo Freire de Souza Santos","Danilo Santos 0001","Danilo Santos"
349,"D. M. G. Preethichandra","Daluwathu M. G. Preethichandra","Daluwathu M. G. Preethichandra"
350,"Hamzah S. AlZubi","Hamzah S. AlZu'bi","Hamzah S. AlZu'bi"
351,"James Scott McDonald","J. Scott McDonald","J. Scott McDonald"
352,"BegoÃ±a Cristina Pelayo GarcÃ­a-Bustelo","B. Cristina Pelayo GarcÃ­a-Bustelo","B. Cristina Pelayo GarcÃ­a-Bustelo"
353,"Cristina Pelayo GarcÃ­a","B. Cristina Pelayo GarcÃ­a-Bustelo","B. Cristina Pelayo GarcÃ­a-Bustelo"
354,"Carlos Vicient MonllaÃ³","Carlos Vicient","Carlos Vicient"
355,"William Wei Song","William Song","William Song"
356,"Natalie C. Helbig","Natalie Helbig","Natalie Helbig"
357,"Megan Lee Endres","Megan L. Endres","Megan L. Endres"
358,"Steven J. Bethard","Steven Bethard","Steven Bethard"
359,"Gabriel Oliver-Codina","Gabriel Oliver","Gabriel Oliver"
360,"Gabriel Codina","Gabriel Oliver","Gabriel Oliver"
361,"Brian T. Lennon","Brian Lennon","Brian Lennon"
362,"Scott Y. Harmon","Scott Harmon","Scott Harmon"
363,"S. Y. Harmon","Scott Harmon","Scott Harmon"
364,"Andrea Leonardo Lacaita","Andrea L. Lacaita","Andrea L. Lacaita"
365,"Muhammad Shahidur Rahman","M. Shahidur Rahman","M. Shahidur Rahman"
366,"Michael J. de C. Henshaw","Michael Henshaw","Michael Henshaw"
367,"Dzulkifli S. Scherber","Dzul Scherber","Dzul Scherber"
368,"Eric R. Anderson 0001","E. R. Anderson 0001","E. R. Anderson"
369,"Muhammad Farrukh Khan","M. Farrukh Khan","M. Farrukh Khan"
370,"Matthew Grimes","Matthew Koichi Grimes","Matthew Koichi Grimes"
371,"Francisco J. S. A. CorrÃªa","Francisco JÃºlio S. A. CorrÃªa","Francisco JÃºlio S. A. CorrÃªa"
372,"Johns Paul","Paul Johns","Paul Johns"
373,"Kun-Han Hans Tsai","Kun-Han Tsai","Kun-Han Tsai"
374,"Changsuk Lee","Chang-Suk Lee","Chang-Suk Lee"
375,"Wellington JoÃ£o Silva","Wellington JoÃ£o da Silva","Wellington JoÃ£o da Silva"
376,"Hannes StraÃŸ","Hannes Strass","Hannes Strass"
377,"Levent GÃ¼venÃ§","Levent GuvenÃ§","Levent GuvenÃ§"
378,"YuPu Hu","Yupu Hu","Yupu Hu"
379,"Yu-pu Hu","Yupu Hu","Yupu Hu"
380,"Yu-Pu Hu","Yupu Hu","Yupu Hu"
381,"MarÃ­a Josefa Yzuel GimÃ©nez","MarÃ­a Josefa Yzuel","MarÃ­a Josefa Yzuel"
382,"Shahram Heydari","Shahram Shah-Heydari","Shahram Shah-Heydari"
383,"Kathryn Blackmond Laskey","Kathryn B. Laskey","Kathryn B. Laskey"
384,"M. R. Amin-Naseri","Mohammad Reza Amin-Naseri","Mohammad Reza Amin-Naseri"
385,"Bill Joy 0001","William N. Joy","William N. Joy"
386,"Hanna Hajishirzi","Hannaneh Hajishirzi","Hannaneh Hajishirzi"
387,"Drew Hicks","Andrew Hicks","Andrew Hicks"
388,"Chintha Chamalie Handapangoda","Chintha C. Handapangoda","Chintha C. Handapangoda"
389,"Francisco Jose Molina-Castillo","Francisco J. Molina-Castillo","Francisco J. Molina-Castillo"
390,"Tang Enya Kong","Enya Kong Tang","Enya Kong Tang"
391,"Alex Zafiroglu","Alexandra Zafiroglu","Alexandra Zafiroglu"
392,"Paulo M. M. Carvalho","Paulo Carvalho 0002","Paulo Carvalho"
393,"Sean R. Dinn","Sean Dinn","Sean Dinn"
394,"Patricia L. Trbovich","Patricia Trbovich","Patricia Trbovich"
395,"Mounira Kezadri-Hamiaz","Mounira Kezadri","Mounira Kezadri"
396,"Mounira Kezadri Hamiaz","Mounira Kezadri","Mounira Kezadri"
397,"Daniel Izquierdo-Cortazar","Daniel Izquierdo 0001","Daniel Izquierdo"
398,"Zeye (Dexter) Liu","Zeye Liu 0001","Zeye Liu"
399,"Gullu Kiziltas Sendur","GÃ¼llÃ¼ Kiziltas","GÃ¼llÃ¼ Kiziltas"
400,"Bang-Shu Xiong","Bangshu Xiong","Bangshu Xiong"
401,"Per Strand","PÃ¤r Strand","PÃ¤r Strand"
402,"John J. Loffeld","John Loffeld","John Loffeld"
403,"Pedro Antonio GonzÃ¡lez-Calero","Pedro A. GonzÃ¡lez-Calero","Pedro A. GonzÃ¡lez-Calero"
404,"Yen-Yu Ian Shih","Yen-Yu I. Shih","Yen-Yu I. Shih"
405,"Xiao-Kang Liu","Xiaokang Liu","Xiaokang Liu"
406,"Zeghid Medien","Medien Zeghid","Medien Zeghid"
407,"Shafi Ullah Khan","Shafiullah Khan","Shafiullah Khan"
408,"Anthony John Hirst","Anthony J. Hirst","Anthony J. Hirst"
409,"Rui Castro Mendes","Rui Mendes 0001","Rui Mendes"
410,"Antonio Alberto D'Amico","Antonio A. D'Amico","Antonio A. D'Amico"
411,"Philip Nan Ji","Philip N. Ji","Philip N. Ji"
412,"Jeanette Mumford","Jeanette A. Mumford","Jeanette A. Mumford"
413,"Michele M. Nava","Michele Nava","Michele Nava"
414,"Tian-Hong Pan","Tianhong Pan","Tianhong Pan"
415,"Reuy-shiang Shaw","R. S. Shaw","R. S. Shaw"
416,"Elena Maria Navarro MartÃ­nez","Elena Navarro 0001","Elena Navarro"
417,"Francisco Alfonso Alba Cadena","Alfonso Alba","Alfonso Alba"
418,"Hanna Maria Kaarina Koskinen","Hanna Koskinen","Hanna Koskinen"
419,"Emmanouil G. Spanakis","Emmanouil Spanakis","Emmanouil Spanakis"
420,"Charlie Zhaowei W. Jiang","Zhaowei Jiang","Zhaowei Jiang"
421,"Fabio Paolo Bonsignorio","Fabio Bonsignorio","Fabio Bonsignorio"
422,"Fabio P. Bonsignorio","Fabio Bonsignorio","Fabio Bonsignorio"
423,"Taehyun Kwon","TaeHyun Kwon","TaeHyun Kwon"
424,"Stephen Jenn-Hwai Yang","Jenn-Hwai Yang","Jenn-Hwai Yang"
425,"Dmitriy Nikolaevich Moldovyan","Dmitriy N. Moldovyan","Dmitriy N. Moldovyan"
426,"Katja S. Schwenzer-Zimmerer","Katja Schwenzer-Zimmerer","Katja Schwenzer-Zimmerer"
427,"Lucio Fernandes Dutra Santos","LÃºcio F. D. Santos","LÃºcio F. D. Santos"
428,"Guy-Bart Vincent Stan","Guy-Bart Stan","Guy-Bart Stan"
429,"Ruben A. Gamboa","Ruben Gamboa","Ruben Gamboa"
430,"Alan I. Rea Jr.","Alan Rea 0002","Alan Rea"
431,"Gheorghe-Ioan Mihalas","George I. Mihalas","George I. Mihalas"
432,"Malte Ressin","Malte ReÃŸin","Malte ReÃŸin"
433,"Ramalingham Shanmugam","Ramalingam Shanmugam","Ramalingam Shanmugam"
434,"Yuhong (Alisha) Yang","Yuhong Yang 0007","Yuhong Yang"
435,"Dong S. Ha 0001","Dong Sam Ha","Dong Sam Ha"
436,"Anh Trong Huynh","Anh T. Huynh","Anh T. Huynh"
437,"Fernando ArmÃ©nio da Costa Castro e Fontes","Fernando A. C. C. Fontes","Fernando A. C. C. Fontes"
438,"Nikolay D. Gagunashvili","Nikolai Gagunashvili","Nikolai Gagunashvili"
439,"Xin Zhao 0018","Wayne Xin Zhao","Wayne Xin Zhao"
440,"Vassilios Kopanas","Vassilis Kopanas","Vassilis Kopanas"
441,"Mailyn Moreno-Espino","Mailyn Moreno","Mailyn Moreno"
442,"NÃ©lio Muniz Mendes Alves","Nelio Alves","Nelio Alves"
